MA,V,Visa_Inc.,Mastercard,Visa_z,MA_z,Visa_7_day_profit,MA_7_day_profit
527.07421875,320.29998779296875,1458,1409,0.10769706428279113,-0.43836926120452435,0.15997314453125,10.75146484375
519.3674926757812,318.92999267578125,1403,1232,-0.1555907457273305,-1.2070898903942675,-1.58001708984375,-0.73870849609375
525.5068969726562,320.95001220703125,1281,1299,-0.7746236223660334,-0.9564433614631923,0.120025634765625,2.08636474609375
495.1790466308594,306.5199890136719,1468,1254,0.1665300604187182,-1.1387789819421636,-13.95001220703125,-26.843841552734375
497.1456604003906,307.2200012207031,1534,1304,0.4884884525772691,-0.9208148256816786,-12.579986572265625,-26.614227294921875
508.5161437988281,312.989990234375,1420,1392,-0.09980016174079534,-0.5207533028095175,-4.3699951171875,-12.927764892578125
513.8869018554688,316.70001220703125,1477,1347,0.1759592008499957,-0.7121055870085058,0.730010986328125,-2.94488525390625
516.32275390625,320.1400146484375,1311,1184,-0.6675351409540625,-1.4181973759267936,5.71002197265625,2.48577880859375
520.106201171875,320.510009765625,1168,1159,-1.3474251173756833,-1.468496827585483,11.550018310546875,16.9708251953125
523.4205322265625,320.8299865722656,1275,1102,-0.803381428560854,-1.6415544254084755,14.329986572265625,26.96368408203125
522.0228881835938,320.4700012207031,1158,1110,-1.38206212857723,-1.5952498030696467,13.329986572265625,24.88720703125
523.7598876953125,319.79998779296875,1871,1258,2.236379681337444,-1.0033637538697424,9.69000244140625,16.132232666015625
521.4439086914062,317.3599853515625,1554,1208,0.6115104154067466,-1.2505930677539254,8.899993896484375,15.73297119140625
516.831787109375,315.9700012207031,1168,1148,-1.3289677788138683,-1.4595570896120582,16.95001220703125,29.19976806640625
513.8369750976562,314.42999267578125,1145,1083,-1.4154724124607407,-1.6702843845975512,14.720001220703125,23.539520263671875
503.1353759765625,308.9599914550781,1399,1280,-0.15149739156943037,-0.8262200713950066,7.339996337890625,7.666839599609375
496.45684814453125,306.5,1258,1070,-0.8416301029745136,-1.6290995141321787,2.05999755859375,-3.064727783203125
497.13568115234375,307.1400146484375,1222,1069,-0.984111237724065,-1.5740294145744147,3.3800048828125,-0.938385009765625
507.6276550292969,310.1099853515625,1129,1039,-1.3863419724903638,-1.6287014744361754,5.199981689453125,5.73016357421875
505.7109375,308.4599914550781,1192,1131,-1.0718388470185485,-1.2485380790993912,2.92999267578125,5.82000732421875
487.63201904296875,299.0199890136719,1122,1097,-1.3784605149690023,-1.3449797236175773,3.5,4.222747802734375
490.2974548339844,299.7099914550781,1042,1086,-1.7162510817168526,-1.3509098644311726,0.16998291015625,-2.855072021484375
495.4685363769531,301.6199951171875,992,922,-1.8586956676621416,-1.8582683819820942,-0.6199951171875,-3.33428955078125
499.5215759277344,304.44000244140625,1128,1004,-1.2035550385800076,-1.5068547917451554,5.92999267578125,8.71502685546875
498.0740661621094,303.760009765625,1133,986,-1.186954942489491,-1.5201629426356178,2.96002197265625,5.4805908203125
